11-20-2024 22:39:04 RAM 2567/62841MB (lfb 10x4MB) SWAP 0/31420MB (cached 0MB) CPU [11%@1497,1%@1497,5%@1497,0%@729,100%@1497,0%@1497,0%@1497,0%@1497,5%@729,4%@729,11%@729,3%@729] GR3D_FREQ 44% cpu@39.437C soc2@35.656C soc0@35.718C gpu@34C tj@39.437C soc1@35.437C VDD_GPU_SOC 3188mW/2780mW VDD_CPU_CV 1196mW/972mW VIN_SYS_5V0 3410mW/3388mW
11-20-2024 22:39:05 RAM 2567/62841MB (lfb 10x4MB) SWAP 0/31420MB (cached 0MB) CPU [9%@729,9%@729,0%@729,0%@729,100%@1497,0%@1497,0%@1497,0%@1497,0%@729,10%@729,10%@729,1%@729] GR3D_FREQ 49% cpu@39.5C soc2@35.656C soc0@35.843C gpu@34.125C tj@39.5C soc1@35.562C VDD_GPU_SOC 2789mW/2781mW VDD_CPU_CV 1196mW/977mW VIN_SYS_5V0 3410mW/3388mW
11-20-2024 22:39:06 RAM 2559/62841MB (lfb 10x4MB) SWAP 0/31420MB (cached 0MB) CPU [8%@1497,3%@1497,7%@1497,3%@1497,100%@1497,0%@1497,1%@1497,4%@1497,2%@729,4%@729,11%@729,5%@729] GR3D_FREQ 16% cpu@39.5C soc2@35.75C soc0@35.781C gpu@34.125C tj@39.5C soc1@35.531C VDD_GPU_SOC 2789mW/2781mW VDD_CPU_CV 1196mW/982mW VIN_SYS_5V0 3410mW/3389mW
11-20-2024 22:39:07 RAM 2559/62841MB (lfb 10x4MB) SWAP 0/31420MB (cached 0MB) CPU [5%@729,1%@729,4%@729,0%@729,100%@1497,0%@1497,0%@1497,6%@1497,3%@729,0%@729,9%@729,2%@729] GR3D_FREQ 39% cpu@39.375C soc2@35.718C soc0@35.718C gpu@34.187C tj@39.375C soc1@35.625C VDD_GPU_SOC 3188mW/2790mW VDD_CPU_CV 1196mW/987mW VIN_SYS_5V0 3410mW/3389mW
11-20-2024 22:39:08 RAM 2565/62841MB (lfb 10x4MB) SWAP 0/31420MB (cached 0MB) CPU [9%@1497,4%@1497,4%@1497,2%@1497,100%@1497,0%@1497,1%@1497,6%@1497,8%@729,0%@729,10%@729,4%@729] GR3D_FREQ 25% cpu@39.375C soc2@35.718C soc0@35.718C gpu@34.093C tj@39.375C soc1@35.437C VDD_GPU_SOC 3188mW/2799mW VDD_CPU_CV 1595mW/1001mW VIN_SYS_5V0 3511mW/3392mW
11-20-2024 22:39:09 RAM 2565/62841MB (lfb 10x4MB) SWAP 0/31420MB (cached 0MB) CPU [7%@729,1%@729,10%@729,2%@729,100%@1497,0%@1497,0%@1497,4%@1497,2%@729,1%@729,8%@729,3%@729] GR3D_FREQ 53% cpu@39.343C soc2@35.75C soc0@35.937C gpu@34.031C tj@39.437C soc1@35.562C VDD_GPU_SOC 2789mW/2799mW VDD_CPU_CV 1196mW/1005mW VIN_SYS_5V0 3410mW/3392mW
11-20-2024 22:39:10 RAM 2565/62841MB (lfb 10x4MB) SWAP 0/31420MB (cached 0MB) CPU [8%@1497,3%@1497,4%@1497,3%@1497,100%@1497,0%@1497,0%@1497,0%@1497,8%@729,2%@729,10%@729,0%@729] GR3D_FREQ 46% cpu@39.468C soc2@35.718C soc0@35.75C gpu@34.093C tj@39.468C soc1@35.531C VDD_GPU_SOC 2789mW/2798mW VDD_CPU_CV 1196mW/1009mW VIN_SYS_5V0 3410mW/3393mW
11-20-2024 22:39:11 RAM 2565/62841MB (lfb 10x4MB) SWAP 0/31420MB (cached 0MB) CPU [6%@729,2%@729,8%@729,2%@729,100%@1497,0%@1497,0%@1497,0%@1497,0%@729,10%@729,8%@729,0%@729] GR3D_FREQ 12% cpu@39.531C soc2@35.718C soc0@35.781C gpu@34.156C tj@39.531C soc1@35.687C VDD_GPU_SOC 3188mW/2807mW VDD_CPU_CV 1196mW/1013mW VIN_SYS_5V0 3410mW/3393mW
11-20-2024 22:39:12 RAM 2566/62841MB (lfb 10x4MB) SWAP 0/31420MB (cached 0MB) CPU [10%@729,1%@729,7%@729,6%@729,100%@1497,0%@1497,0%@1497,0%@1497,4%@729,6%@729,0%@729,0%@729] GR3D_FREQ 3% cpu@39.375C soc2@35.718C soc0@35.781C gpu@34.156C tj@39.375C soc1@35.437C VDD_GPU_SOC 3188mW/2814mW VDD_CPU_CV 1196mW/1017mW VIN_SYS_5V0 3410mW/3393mW
11-20-2024 22:39:13 RAM 2566/62841MB (lfb 10x4MB) SWAP 0/31420MB (cached 0MB) CPU [7%@1497,3%@1497,1%@1497,4%@1497,100%@1497,0%@1497,0%@1497,0%@1497,9%@729,11%@729,0%@729,9%@729] GR3D_FREQ 53% cpu@39.437C soc2@35.781C soc0@35.843C gpu@34.031C tj@39.437C soc1@35.593C VDD_GPU_SOC 2789mW/2814mW VDD_CPU_CV 1196mW/1020mW VIN_SYS_5V0 3410mW/3394mW
