11-20-2024 22:39:34 RAM 2536/62841MB (lfb 10x4MB) SWAP 0/31420MB (cached 0MB) CPU [4%@729,2%@729,1%@729,4%@729,2%@729,1%@729,0%@729,0%@729,2%@729,0%@729,0%@729,9%@729] GR3D_FREQ 0% cpu@39C soc2@35.625C soc0@35.75C gpu@34.187C tj@39C soc1@35.531C VDD_GPU_SOC 2391mW/2741mW VDD_CPU_CV 398mW/857mW VIN_SYS_5V0 3205mW/3302mW
11-20-2024 22:39:35 RAM 2536/62841MB (lfb 10x4MB) SWAP 0/31420MB (cached 0MB) CPU [1%@1497,2%@1497,12%@1497,2%@1497,1%@729,4%@729,8%@729,0%@729,0%@729,1%@729,0%@729,0%@729] GR3D_FREQ 29% cpu@39.093C soc2@35.687C soc0@35.687C gpu@34.156C tj@39.093C soc1@35.468C VDD_GPU_SOC 2391mW/2731mW VDD_CPU_CV 398mW/844mW VIN_SYS_5V0 3104mW/3296mW
11-20-2024 22:39:36 RAM 2536/62841MB (lfb 10x4MB) SWAP 0/31420MB (cached 0MB) CPU [9%@729,22%@729,9%@729,4%@729,0%@729,0%@729,0%@729,0%@729,1%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@39.218C soc2@35.75C soc0@35.781C gpu@34.062C tj@39.218C soc1@35.562C VDD_GPU_SOC 2391mW/2721mW VDD_CPU_CV 398mW/831mW VIN_SYS_5V0 3104mW/3290mW
11-20-2024 22:39:37 RAM 2537/62841MB (lfb 10x4MB) SWAP 0/31420MB (cached 0MB) CPU [16%@729,12%@729,2%@729,14%@729,8%@729,2%@729,0%@729,0%@729,1%@729,29%@729,0%@729,0%@729] GR3D_FREQ 5% cpu@39.062C soc2@35.625C soc0@35.75C gpu@34.031C tj@39.062C soc1@35.718C VDD_GPU_SOC 2789mW/2723mW VDD_CPU_CV 797mW/830mW VIN_SYS_5V0 3405mW/3293mW
11-20-2024 22:39:38 RAM 2537/62841MB (lfb 10x4MB) SWAP 0/31420MB (cached 0MB) CPU [7%@729,6%@729,5%@729,8%@729,32%@729,0%@729,1%@729,0%@729,0%@729,14%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@39C soc2@35.718C soc0@35.843C gpu@34.156C tj@39C soc1@35.531C VDD_GPU_SOC 2391mW/2714mW VDD_CPU_CV 398mW/819mW VIN_SYS_5V0 3205mW/3291mW
11-20-2024 22:39:39 RAM 2537/62841MB (lfb 10x4MB) SWAP 0/31420MB (cached 0MB) CPU [1%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,1%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@39C soc2@35.656C soc0@35.656C gpu@34.125C tj@39.156C soc1@35.562C VDD_GPU_SOC 2391mW/2705mW VDD_CPU_CV 398mW/808mW VIN_SYS_5V0 3004mW/3284mW
11-20-2024 22:39:40 RAM 2537/62841MB (lfb 10x4MB) SWAP 0/31420MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,1%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@39C soc2@35.687C soc0@35.781C gpu@34.218C tj@39C soc1@35.593C VDD_GPU_SOC 2391mW/2697mW VDD_CPU_CV 398mW/797mW VIN_SYS_5V0 3004mW/3276mW
11-20-2024 22:39:41 RAM 2537/62841MB (lfb 10x4MB) SWAP 0/31420MB (cached 0MB) CPU [1%@729,1%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,1%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@39.187C soc2@35.656C soc0@35.812C gpu@34C tj@39.187C soc1@35.687C VDD_GPU_SOC 2391mW/2690mW VDD_CPU_CV 398mW/787mW VIN_SYS_5V0 3004mW/3270mW
11-20-2024 22:39:42 RAM 2537/62841MB (lfb 10x4MB) SWAP 0/31420MB (cached 0MB) CPU [1%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@38.968C soc2@35.625C soc0@35.843C gpu@34C tj@38.968C soc1@35.562C VDD_GPU_SOC 2391mW/2682mW VDD_CPU_CV 398mW/778mW VIN_SYS_5V0 3104mW/3266mW
11-20-2024 22:39:43 RAM 2537/62841MB (lfb 10x4MB) SWAP 0/31420MB (cached 0MB) CPU [0%@729,1%@729,0%@729,1%@729,0%@729,0%@729,0%@729,0%@729,1%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@38.968C soc2@35.656C soc0@35.812C gpu@34C tj@38.968C soc1@35.437C VDD_GPU_SOC 2391mW/2676mW VDD_CPU_CV 398mW/769mW VIN_SYS_5V0 3004mW/3259mW
11-20-2024 22:39:44 RAM 2537/62841MB (lfb 10x4MB) SWAP 0/31420MB (cached 0MB) CPU [0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@39.031C soc2@35.687C soc0@35.75C gpu@34.156C tj@39.031C soc1@35.656C VDD_GPU_SOC 2391mW/2669mW VDD_CPU_CV 398mW/760mW VIN_SYS_5V0 3004mW/3253mW
11-20-2024 22:39:45 RAM 2537/62841MB (lfb 10x4MB) SWAP 0/31420MB (cached 0MB) CPU [2%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729,0%@729] GR3D_FREQ 0% cpu@38.906C soc2@35.562C soc0@35.75C gpu@34.156C tj@38.906C soc1@35.656C VDD_GPU_SOC 2391mW/2663mW VDD_CPU_CV 398mW/752mW VIN_SYS_5V0 3004mW/3248mW
