11-20-2024 22:39:08 RAM 2564/62841MB (lfb 10x4MB) SWAP 0/31420MB (cached 0MB) CPU [8%@1497,3%@1497,1%@1497,0%@1497,100%@1497,0%@1497,0%@1497,5%@1497,9%@1267,0%@1267,10%@1267,3%@1267] GR3D_FREQ 13% cpu@39.468C soc2@35.75C soc0@35.687C gpu@34.187C tj@39.468C soc1@35.5C VDD_GPU_SOC 3188mW/2972mW VDD_CPU_CV 1594mW/1246mW VIN_SYS_5V0 3511mW/3434mW
11-20-2024 22:39:09 RAM 2565/62841MB (lfb 10x4MB) SWAP 0/31420MB (cached 0MB) CPU [7%@1497,1%@1497,11%@1497,3%@1497,100%@1497,0%@1497,0%@1497,6%@1497,1%@729,1%@729,11%@729,2%@729] GR3D_FREQ 10% cpu@39.468C soc2@35.718C soc0@35.718C gpu@34.031C tj@39.468C soc1@35.625C VDD_GPU_SOC 3188mW/2981mW VDD_CPU_CV 1196mW/1244mW VIN_SYS_5V0 3410mW/3433mW
11-20-2024 22:39:10 RAM 2565/62841MB (lfb 10x4MB) SWAP 0/31420MB (cached 0MB) CPU [8%@1497,4%@1497,4%@1497,3%@1497,100%@1497,0%@1497,0%@1497,0%@1497,11%@729,0%@729,9%@729,1%@729] GR3D_FREQ 55% cpu@39.406C soc2@35.687C soc0@35.812C gpu@34.062C tj@39.406C soc1@35.75C VDD_GPU_SOC 3188mW/2989mW VDD_CPU_CV 1196mW/1242mW VIN_SYS_5V0 3410mW/3432mW
11-20-2024 22:39:11 RAM 2565/62841MB (lfb 10x4MB) SWAP 0/31420MB (cached 0MB) CPU [8%@1497,2%@1497,8%@1497,1%@1497,100%@1497,0%@1497,0%@1497,0%@1497,0%@729,10%@729,9%@729,0%@729] GR3D_FREQ 47% cpu@39.406C soc2@35.75C soc0@35.843C gpu@34.062C tj@39.406C soc1@35.5C VDD_GPU_SOC 2789mW/2981mW VDD_CPU_CV 1196mW/1240mW VIN_SYS_5V0 3410mW/3431mW
11-20-2024 22:39:12 RAM 2566/62841MB (lfb 10x4MB) SWAP 0/31420MB (cached 0MB) CPU [8%@1497,1%@1497,8%@1497,7%@1497,100%@1497,0%@1497,0%@1497,0%@1497,3%@729,6%@729,0%@729,0%@729] GR3D_FREQ 10% cpu@39.5C soc2@35.718C soc0@35.75C gpu@34.25C tj@39.5C soc1@35.625C VDD_GPU_SOC 3188mW/2989mW VDD_CPU_CV 1196mW/1239mW VIN_SYS_5V0 3410mW/3431mW
11-20-2024 22:39:13 RAM 2566/62841MB (lfb 10x4MB) SWAP 0/31420MB (cached 0MB) CPU [7%@729,2%@729,0%@729,3%@729,100%@1497,0%@1497,0%@1497,0%@1497,9%@729,10%@729,0%@729,6%@729] GR3D_FREQ 46% cpu@39.312C soc2@35.718C soc0@35.781C gpu@34.218C tj@39.312C soc1@35.625C VDD_GPU_SOC 3188mW/2996mW VDD_CPU_CV 1196mW/1237mW VIN_SYS_5V0 3410mW/3430mW
11-20-2024 22:39:14 RAM 2566/62841MB (lfb 10x4MB) SWAP 0/31420MB (cached 0MB) CPU [8%@1497,1%@1497,3%@1497,2%@1497,100%@1497,0%@1497,0%@1497,0%@1497,7%@729,11%@729,0%@729,10%@729] GR3D_FREQ 59% cpu@39.406C soc2@35.718C soc0@35.718C gpu@34.031C tj@39.406C soc1@35.5C VDD_GPU_SOC 2789mW/2989mW VDD_CPU_CV 1196mW/1236mW VIN_SYS_5V0 3410mW/3429mW
11-20-2024 22:39:15 RAM 2566/62841MB (lfb 10x4MB) SWAP 0/31420MB (cached 0MB) CPU [8%@729,0%@1497,1%@1497,0%@1497,100%@1497,0%@1497,0%@1497,0%@1497,9%@729,10%@729,0%@729,11%@729] GR3D_FREQ 6% cpu@39.437C soc2@35.75C soc0@35.937C gpu@34.062C tj@39.437C soc1@35.562C VDD_GPU_SOC 2789mW/2982mW VDD_CPU_CV 1196mW/1234mW VIN_SYS_5V0 3410mW/3429mW
11-20-2024 22:39:16 RAM 2566/62841MB (lfb 10x4MB) SWAP 0/31420MB (cached 0MB) CPU [8%@729,0%@729,2%@729,1%@729,100%@1497,1%@1497,0%@1497,0%@1497,3%@729,9%@729,7%@729,15%@729] GR3D_FREQ 10% cpu@39.625C soc2@35.812C soc0@35.781C gpu@34.156C tj@39.625C soc1@35.593C VDD_GPU_SOC 2789mW/2976mW VDD_CPU_CV 1196mW/1233mW VIN_SYS_5V0 3410mW/3428mW
11-20-2024 22:39:17 RAM 2566/62841MB (lfb 10x4MB) SWAP 0/31420MB (cached 0MB) CPU [8%@1497,1%@1497,1%@1497,0%@1497,100%@1497,0%@1497,0%@1497,0%@1497,0%@729,8%@729,9%@729,10%@729] GR3D_FREQ 43% cpu@39.437C soc2@35.718C soc0@35.812C gpu@34.25C tj@39.437C soc1@35.718C VDD_GPU_SOC 3188mW/2983mW VDD_CPU_CV 1196mW/1232mW VIN_SYS_5V0 3410mW/3427mW
