Inference Count,Inference Time (ms),End-to-End Time (ms),FPS
317,631.244,717.119,1.584173473
318,631.214,717.058,1.584248765
319,631.275,717.168,1.584095679
320,631.294,717.138,1.584048003
321,631.263,717.107,1.584125792
322,631.232,717.108,1.584203589
323,631.263,717.138,1.584125792
324,631.244,717.119,1.584173473
325,631.244,717.119,1.584173473
326,631.244,717.107,1.584173473
327,631.324,717.168,1.58397273
328,631.294,717.138,1.584048003
329,631.294,715.398,1.584048003
330,631.324,715.673,1.58397273
331,631.305,715.715,1.584020402
332,631.244,715.715,1.584173473
333,631.275,715.734,1.584095679
334,631.294,715.765,1.584048003
335,631.294,717.047,1.584048003
336,631.263,717.138,1.584125792
337,631.232,717.108,1.584203589
338,631.275,717.15,1.584095679
339,631.305,717.149,1.584020402
340,631.275,717.138,1.584095679
341,631.263,717.138,1.584125792
342,631.294,717.138,1.584048003
343,631.232,717.077,1.584203589
344,631.293,717.077,1.584050512
345,631.244,716.906,1.584173473
346,631.244,717.089,1.584173473
347,631.275,717.138,1.584095679
348,631.263,717.107,1.584125792
349,631.294,717.138,1.584048003
350,631.263,717.107,1.584125792
351,631.264,717.138,1.584123283
352,631.275,717.119,1.584095679
353,631.244,717.119,1.584173473
354,631.305,717.168,1.584020402
355,631.263,717.107,1.584125792
356,631.263,717.108,1.584125792
357,631.263,717.108,1.584125792
358,631.293,717.138,1.584050512
359,631.244,717.119,1.584173473
360,631.244,717.119,1.584173473
361,631.275,716.955,1.584095679
362,631.324,716.253,1.58397273
363,631.263,716.161,1.584125792
364,631.294,715.46,1.584048003
365,631.324,715.49,1.58397273
366,631.275,715.258,1.584095679
367,631.244,715.593,1.584173473
368,631.244,715.429,1.584173473
369,631.324,715.734,1.58397273
370,631.263,715.764,1.584125792
371,631.293,716.008,1.584050512
372,631.263,716.07,1.584125792
373,631.275,716.875,1.584095679
374,631.244,716.997,1.584173473
375,631.275,716.985,1.584095679
376,631.263,716.954,1.584125792
377,631.263,716.864,1.584125792
378,631.293,716.925,1.584050512
379,631.293,716.986,1.584050512
380,631.244,716.967,1.584173473
381,631.244,716.722,1.584173473
382,631.305,715.581,1.584020402
383,631.263,715.307,1.584125792
384,631.294,715.368,1.584048003
385,631.324,715.368,1.58397273
386,631.355,715.399,1.583894956
387,631.335,715.41,1.583945132
388,631.336,715.38,1.583942623
389,631.275,715.337,1.584095679
390,631.325,715.368,1.583970221
391,631.294,715.337,1.584048003
392,631.263,715.337,1.584125792
393,631.294,715.368,1.584048003
394,631.305,715.349,1.584020402
395,631.274,715.349,1.584098189
396,631.305,715.368,1.584020402
397,631.355,715.398,1.583894956
398,631.294,715.338,1.584048003
399,631.324,715.368,1.58397273
400,631.324,715.399,1.58397273
401,631.305,715.379,1.584020402
402,631.274,715.349,1.584098189
403,631.354,715.398,1.583897465
404,631.263,715.337,1.584125792
405,631.293,715.337,1.584050512
406,631.324,715.338,1.58397273
407,631.324,715.368,1.58397273
408,631.244,715.471,1.584173473
409,631.244,715.288,1.584173473
410,631.232,715.276,1.584203589
411,631.324,715.795,1.58397273
412,631.294,715.49,1.584048003
413,631.263,715.429,1.584125792
414,631.325,715.399,1.583970221
415,631.275,715.349,1.584095679
416,631.275,715.41,1.584095679
417,631.324,715.429,1.58397273
418,631.293,715.398,1.584050512
419,631.294,715.429,1.584048003
420,631.263,715.277,1.584125792
421,631.263,716.101,1.584125792
422,631.275,716.997,1.584095679
423,631.244,717.088,1.584173473
424,631.355,715.642,1.583894956
425,631.324,715.612,1.58397273
426,631.355,715.612,1.583894956
427,631.293,715.551,1.584050512
428,631.293,715.551,1.584050512
429,631.305,715.563,1.584020402
430,631.275,715.593,1.584095679
431,631.324,715.612,1.58397273
432,631.293,715.581,1.584050512
433,631.354,715.642,1.583897465
434,631.324,715.612,1.58397273
435,631.324,715.582,1.58397273
436,631.336,715.593,1.583942623
437,631.306,715.563,1.584017893
438,631.324,715.612,1.58397273
439,631.294,715.551,1.584048003
440,631.325,715.613,1.583970221
441,631.325,715.613,1.583970221
442,631.324,715.643,1.58397273
443,631.336,715.624,1.583942623
444,631.305,715.593,1.584020402
445,631.294,715.612,1.584048003
446,631.294,715.642,1.584048003
447,631.355,715.673,1.583894956
448,631.324,715.612,1.58397273
449,631.294,715.612,1.584048003
450,631.275,715.563,1.584095679
451,631.305,715.593,1.584020402
452,631.324,715.581,1.58397273
453,631.294,715.642,1.584048003
454,631.354,715.642,1.583897465
455,631.263,715.612,1.584125792
456,631.355,715.643,1.583894956
457,631.305,715.624,1.584020402
458,631.275,715.563,1.584095679
459,631.324,715.643,1.58397273
460,631.325,715.612,1.583970221
461,631.325,715.643,1.583970221
462,631.324,715.49,1.58397273
463,631.354,715.551,1.583897465
464,631.244,715.593,1.584173473
465,631.275,715.593,1.584095679
466,631.324,715.642,1.58397273
467,631.263,715.612,1.584125792
468,631.263,715.582,1.584125792
469,631.263,715.582,1.584125792
470,631.263,715.582,1.584125792
471,631.274,715.593,1.584098189
472,631.244,715.46,1.584173473
473,631.324,715.52,1.58397273
474,631.324,715.52,1.58397273
475,631.324,715.612,1.58397273
476,631.324,715.581,1.58397273
477,631.305,715.532,1.584020402
478,631.245,715.502,1.584170964
479,631.275,715.551,1.584095679
480,631.294,715.551,1.584048003
481,631.294,715.52,1.584048003
482,631.263,715.521,1.584125792
483,631.324,715.582,1.58397273
484,631.244,715.532,1.584173473
485,631.274,715.501,1.584098189
486,631.305,715.581,1.584020402
487,631.324,715.551,1.58397273
488,631.293,715.551,1.584050512
489,631.324,715.521,1.58397273
490,631.293,715.49,1.584050512
491,631.244,715.441,1.584173473
492,631.244,715.471,1.584173473
493,631.274,715.49,1.584098189
494,631.263,715.49,1.584125792
495,631.294,715.49,1.584048003
496,631.263,715.49,1.584125792
497,631.263,715.52,1.584125792
498,631.336,715.624,1.583942623
499,631.275,715.502,1.584095679
500,631.214,715.429,1.584248765
501,631.294,715.582,1.584048003
502,631.355,715.551,1.583894956
503,631.324,715.521,1.58397273
504,631.293,715.521,1.584050512
505,631.244,715.471,1.584173473
506,631.244,715.44,1.584173473
507,631.305,715.52,1.584020402
508,631.294,715.49,1.584048003
509,631.324,715.52,1.58397273
510,631.294,715.46,1.584048003
511,631.293,715.49,1.584050512
512,631.244,715.471,1.584173473
513,631.275,715.715,1.584095679
514,631.305,715.551,1.584020402
515,631.294,715.49,1.584048003
516,631.294,715.52,1.584048003
517,631.294,715.52,1.584048003
518,631.324,715.551,1.58397273
519,631.275,715.471,1.584095679
520,631.306,715.502,1.584017893
521,631.275,715.521,1.584095679
522,631.294,715.551,1.584048003
523,631.294,715.52,1.584048003
524,631.294,715.521,1.584048003
525,631.232,715.46,1.584203589
526,631.275,715.502,1.584095679
527,631.305,715.501,1.584020402
528,631.244,715.49,1.584173473
529,631.263,715.459,1.584125792
530,631.324,715.52,1.58397273
531,631.294,715.46,1.584048003
532,631.324,715.551,1.58397273
533,631.244,715.441,1.584173473
534,631.275,715.502,1.584095679
535,631.244,715.49,1.584173473
536,631.294,715.49,1.584048003
537,631.324,715.52,1.58397273
538,631.324,715.52,1.58397273
539,631.324,715.551,1.58397273
540,631.275,715.471,1.584095679
541,631.275,715.471,1.584095679
542,631.275,715.49,1.584095679
543,631.294,715.521,1.584048003
544,631.355,715.552,1.583894956
545,631.324,715.521,1.58397273
546,631.354,715.551,1.583897465
547,631.305,715.563,1.584020402
548,631.274,715.44,1.584098189
549,631.274,715.551,1.584098189
550,631.354,715.581,1.583897465
551,631.293,715.52,1.584050512
