Time(s)	FPS
2.8560	0.35
2.8550	0.35
2.8560	0.35
2.8550	0.35
2.8540	0.35
2.8540	0.35
2.8550	0.35
2.8550	0.35
3.3210	0.30
2.8550	0.35
2.8550	0.35
2.8560	0.35
2.8560	0.35
2.8550	0.35
2.8570	0.35
2.8570	0.35
2.8560	0.35
2.8550	0.35
2.8550	0.35
2.8550	0.35
2.8560	0.35
2.8540	0.35
2.8560	0.35
2.8550	0.35
2.8550	0.35
2.8540	0.35
2.8540	0.35
2.8550	0.35
2.8540	0.35
2.8550	0.35
2.8560	0.35
2.8540	0.35
2.8560	0.35
2.8570	0.35
2.8560	0.35
2.8550	0.35
2.8540	0.35
2.8560	0.35
2.8560	0.35
2.8530	0.35
2.8550	0.35
2.8540	0.35
2.8560	0.35
2.8540	0.35
2.8560	0.35
2.8550	0.35
2.8570	0.35
2.8550	0.35
2.8550	0.35
2.8560	0.35
2.8570	0.35
2.8550	0.35
2.8560	0.35
2.8550	0.35
2.8560	0.35
2.8540	0.35
2.8540	0.35
2.8570	0.35
2.8540	0.35
2.8550	0.35
2.8550	0.35
2.8550	0.35
2.8540	0.35
2.8550	0.35
2.8560	0.35
2.8550	0.35
2.8540	0.35
2.8560	0.35
2.9510	0.34
3.2210	0.31
2.8550	0.35
2.8560	0.35
2.8560	0.35
2.8540	0.35
2.8530	0.35
2.8560	0.35
2.8530	0.35
2.8560	0.35
2.8560	0.35
2.8550	0.35
2.8570	0.35
2.8560	0.35
2.8540	0.35
2.8540	0.35
2.8550	0.35
2.8550	0.35
2.8560	0.35
2.8550	0.35
2.8550	0.35
2.8550	0.35
2.8550	0.35
2.8560	0.35
2.8560	0.35
2.8550	0.35
2.8550	0.35
2.8530	0.35
2.8550	0.35
2.8560	0.35
2.8560	0.35
2.8550	0.35
2.8560	0.35
2.8560	0.35
2.8560	0.35
2.8560	0.35
2.8550	0.35
2.8550	0.35
2.8550	0.35
2.8560	0.35
2.8560	0.35
2.8560	0.35
2.8550	0.35
2.8550	0.35
2.8550	0.35
2.8550	0.35
2.8550	0.35
2.8560	0.35
2.8540	0.35
2.8550	0.35
2.8560	0.35
2.8560	0.35
2.8560	0.35
2.8540	0.35
2.8550	0.35
2.8570	0.35
2.8560	0.35
2.8540	0.35
2.8540	0.35
2.8550	0.35
2.8550	0.35
3.3610	0.30
2.8560	0.35
2.8560	0.35
2.8560	0.35
2.8550	0.35
2.8550	0.35
