Time(s)	FPS
0.6870	1.46
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6870	1.46
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6980	1.43
0.7420	1.35
0.7680	1.30
0.7390	1.35
0.6990	1.43
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6870	1.46
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6870	1.46
0.6870	1.46
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6870	1.46
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6870	1.46
0.6870	1.46
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6870	1.46
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6870	1.46
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6870	1.46
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6870	1.46
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6960	1.44
0.7380	1.36
0.7690	1.30
0.7410	1.35
0.6930	1.44
0.6870	1.46
0.6870	1.46
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6870	1.46
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6870	1.46
0.6870	1.46
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6870	1.46
0.6880	1.45
0.6880	1.45
0.6880	1.45
0.6880	1.45
